pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
11527,0.42,#1e1c18,0.32,#4c4944,0.19,#33363d,0.03,#3e372c,0.02,#7a776e,0.01,#766857,0.01,#2d2f35,0.01,#66645b
11528,0.43,#454342,0.4,#1e1c18,0.08,#31343b,0.03,#3c352b,0.02,#77746c,0.01,#706555,0.01,#352e26,0.01,#2d2f34
11529,0.72,#161513,0.2,#413d38,0.05,#31302f,0.01,#343432,0.01,#392f27,0.01,#36322d,0.0,#827362,0.0,#6d5d4c
11530,0.73,#161514,0.17,#413c36,0.04,#2f2e2e,0.04,#353331,0.01,#80705e,0.0,#392f26,0.0,#3d3429,0.0,#72614f
11531,0.73,#151413,0.16,#413c35,0.06,#2d2c2d,0.04,#353331,0.01,#7f6f5d,0.0,#392f26,0.0,#6c5b4a,0.0,#3f3329
11532,0.38,#4a4844,0.38,#1e1c18,0.16,#33363e,0.03,#3d372c,0.03,#77756d,0.01,#726757,0.01,#646259,0.0,#372e25
11533,0.43,#474643,0.38,#1e1c18,0.11,#32363e,0.03,#3d372c,0.02,#77756e,0.01,#6f6759,0.01,#362e24,0.0,#685a48
11534,0.38,#1f1d19,0.37,#4c4944,0.18,#34373f,0.03,#78756d,0.02,#3f372d,0.01,#766856,0.01,#67655c,0.01,#35332c
11535,0.44,#484643,0.38,#1e1c18,0.1,#32363e,0.03,#3e372c,0.02,#78766e,0.02,#716758,0.01,#372e25,0.0,#646158
11536,0.44,#474543,0.38,#1e1c18,0.1,#32363e,0.03,#3d372c,0.02,#78766e,0.02,#706758,0.01,#372e25,0.0,#695a49
11537,0.72,#151412,0.19,#3f3a34,0.04,#333230,0.03,#2c2c2d,0.01,#3c3228,0.01,#333029,0.01,#7d6d5b,0.0,#382d25
11538,0.74,#151413,0.15,#433d35,0.05,#353330,0.04,#2f2e2e,0.01,#3e3329,0.0,#3a2f26,0.0,#80705f,0.0,#35322a
